JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
Planning and Developer,"Mufg Bank, Ltd., Ho Chi Minh City Branch",3/1/2022,1000,1500,Thương lượng,"Project Management,Systems Implementation,Software Process Development,Visual Studio 2015;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Senior Fullstack Engineer (Java),Công Ty Cổ Phần Vinbrain,2/10/2022,2000,3000,Thương lượng,"Java,Python,JavaScript,React,Full Stack Development;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Mobile Engineer (Android/flutter),"Toshiba Software Development (Vietnam) Co., Ltd",2/10/2022,600,2000,Thương lượng,"OOP,Java,Android,Flutter Framework,Computer Science;",Hà Nội,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Bất kỳ
IT Business Architect (Kiến Trúc Sư Nghiệp Vụ) - Hà Nội,VPBank - Https://tuyendung.vpbank.com.vn/,2/10/2022,1,1,Thương lượng,"Finance Service,Information System,IFRS,Workflow,Document Management;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Back-end Developers (PHP/ Magento) Recruitment,"Damda CO., LTD.",2/11/2022,1000,2000,$1000 - $2000,"PHP,My SQL,Magento,Magento Backend;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Implementation Consultant for APM (Appdynamics) – (Open to Candidates for Upskilling/ Reskilling),Capgemini Vietnam,2/9/2022,1000,1000,Thương lượng,"IT Project Management,Software Development,Jira,Windows,Linux;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Mobile Developer (iOS/Android),Samsung Electronics HCMC CE Complex,3/4/2022,900,3000,$900 - $3000,"Android Native,IOS Native,Kotlin,Java,Swift;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
"Front End Engineer (React JS, AngularJS)",Công Ty Cổ Phần VinBrain,2/10/2022,500,1000,Thương lượng,"ReactJS,Front End,AngularJS,HTML,JavaScript;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
QC Engineer,Navigos Group,2/16/2022,600,800,Thương lượng,"Manual Testing,QC,QA,API Testing,Agile Software;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Chuyên Viên Chính Quản Trị Rủi Ro Vận Hành Mảng Ngân Hàng Số - Phòng Quản Trị Rủi Ro Vận Hành - Khối Quản Trị Rủi Ro,Ngân Hàng TMCP Tiên Phong (Tpbank),2/28/2022,500,500,Thương lượng,"Quản Trị Rủi Ro,Phân Tích,Tiếng Anh,Giao Tiếp,Rủi Ro Ngân Hàng Số;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Graphic & UI/UX Designer,Amigo Fintech,2/25/2022,300,2000,Thương lượng,"Graphic,Mobile Android,Figma,Illustrator;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Chuyên Viên/chuyên Viên Chính Quản Trị Dữ Liệu (Data Governance)/trung Tâm Quản Trị Dữ Liệu,Ngân Hàng TMCP Tiên Phong (Tpbank),3/3/2022,1000,0,Thương lượng,"Ngân Hàng,Quản Trị Cơ Sở Dữ Liệu,Quản Lý Dữ Liệu,CRM;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Implementation Consultant for APM (Elastic Stack) – (Open to Candidates for Upskilling/ Reskilling),Capgemini Vietnam,2/9/2022,1000,1000,Thương lượng,"IT Project Management,Agile,Software Development,Windows,Linux;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,100-499 Nhân viên,Bất kỳ
Quản Lý Dự Án Cao Cấp (Project Manager) - Khối IT - Hà Nội,VPBank - Https://tuyendung.vpbank.com.vn/,2/10/2022,1,1,Thương lượng,"Project Management,Software Development,Cloud,DevOps;",Hà Nội,toàn thời gian,Trưởng phòng,"5,000-9,999 Nhân viên",Bất kỳ
Fresher - Software Engineer/ Quality Engineer - Starcamp By Nab's Tech Academy,NAB In Collaboration With Positive Thinking Company In Vietnam,2/28/2022,500,1000,Thương lượng,"Fresh Graduate,Java,ReactJS,Cloud,App Tester;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Tiếng Anh
Chuyên Viên Triển Khai Phần Mềm ERP / ERP Specialist,1C Vietnam LLC,2/17/2022,600,1500,$600 - $1500,"ERP,Sản Xuất,Deployment,Triển Khai Phần Mềm,Tư Vấn Giải Pháp;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Chuyên Viên Chính/chuyên Viên Cao Cấp An Ninh Thông Tin,Ngân Hàng TMCP Tiên Phong (Tpbank),3/3/2022,500,500,Thương lượng,"Công Nghệ Thông Tin,IT Phần Mềm,An Ninh Bảo Mật Mạng,Bank Business Process,An Ninh Thông Tin;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Fresher Software,Systemexe Vietnam,3/3/2022,520,0,Từ $520,"QC,Testing,.NET,Java,HTML;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,25-99 Nhân viên,Bất kỳ
Business Analysis Leader/ Manager (Banking/ Finance Domain),HCL Vietnam Company Limited,3/3/2022,2000,3000,$2000 - $3000,"Business Analysis,Business Analyst BA,Banking,Agile,English;",Hà Nội,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Tiếng Anh
"IT Manager - Làm Việc Tại KCN Đồng Văn, Hà Nam","Ace Antenna Co., Ltd",2/23/2022,1000,1500,$1000 - $1500,"Mes,SAP,ERP,IT System,IT Phần Cứng;","Hà Nội,Hưng Yên,Hà Nam",toàn thời gian,Trưởng phòng,,Bất kỳ
Chuyên Viên Logistic Analyst,Công Ty Cổ Phần Ichiba Việt Nam,2/23/2022,500,1200,$500 - $1200,"Logistics Optimization,Data Analyst,Data Science,SQL,Power BI Microsoft;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Account Manager - Senior Business Development,Tập Đoàn Novaon,2/23/2022,800,2000,$800 - $2000,"Sales B2B,IT Business Development,B2B Business Development,Digital Transformation,Chuyển Đổi Số;",Hà Nội,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Bất kỳ
Data Analysis ( Ecommerce),Công Ty Cổ Phần Ichiba Việt Nam,2/23/2022,500,1000,$500 - $1000,"Power BI Microsoft,Data Studio,SQL,Data Analyst,Data Science;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Application Developer (IT),Công Ty TNHH GFT Việt Nam,2/23/2022,900,1100,$900 - $1100,"JavaScript,Microsoft SQL,Application Development,Computer Science,.NET;",Hải Dương,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
JAVA Tech Lead,ELCA Information Technology (Vietnam) Limited,2/23/2022,1500,2500,Thương lượng,"Java,Spring,Hibernate,Java Springboot;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,100-499 Nhân viên,Tiếng Anh
Cobol Developer,Công Ty TNHH Bảo Hiểm Nhân Thọ Generali Việt Nam,2/23/2022,1000,1500,Thương lượng,COBOL;,Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Nhân Viên Kỹ Thuật,Công Ty Cổ Phần Synnex FPT,2/23/2022,500,1500,Thương lượng,"Hardware,Software,Tiếng Anh,Dịch Vụ Mạng,Công Nghệ Thông Tin;",Hồ Chí Minh,toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
Manual QC Engineer (Tester),Saigon Technology SOLUTIONS,2/23/2022,0,1500,Tới $1500,"QC,Test,Testing,Manual Testing,Kiểm Thử;","Hồ Chí Minh,Đà Nẵng",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
JAVA Developer,Shinhan DS Vietnam Company Limited,2/23/2022,700,1500,$700 - $1500,"Software Engineering,Java,Banking,Full Stack Development,Back-End;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
Software Developer - Lập Trình Viên,IMLINK Vietnam,2/23/2022,500,1500,$500 - $1500,"Java,Python,.NET,JavaScript,HTML;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,25-99 Nhân viên,Bất kỳ
Nhân Viên IT,Vietnam Japan Institute For Human Resources Development – Branch In Ho Chi Minh City,2/23/2022,300,300,$300 - $300,"Tiếng Anh,IT Phần Mềm,Quản Lý Hệ Thống,Server,Website;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
Kỹ Sư RF - Radio Frequency (Lương Upto 25 Triệu),Công Ty TNHH Funing Precision Component - Foxconn,2/23/2022,500,1000,Thương lượng,"Điện Tử,Điện Tử Viễn Thông,Radio Frequency,Tiếng Anh;","Bắc Giang,Bắc Ninh",toàn thời gian,Nhân viên,"Over 50,000 Nhân viên",Tiếng Anh
"Full-Stack Software Engineer (Python, Django and JavaScript)",Công Ty TNHH HaskoningDHV Việt Nam,2/23/2022,1500,2000,Thương lượng,"JavaScript,Python,Dijango,English,IT Phần Mềm;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
IT Support Officer,Schindler Vietnam Ltd.,2/23/2022,500,800,Thương lượng,"It Support,It Helpdesk,IT Hardware,IT Hardware Support,Network;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Tiếng Anh
Web Marketing Manager,Công Ty TNHH Gameloft,2/23/2022,2000,3000,Thương lượng,"Digital Marketing,Team Management,People Development,Project Management,Web Designing;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,25-99 Nhân viên,Bất kỳ
".NET Developer - Up to $2,500",Saigon Technology Solutions,2/23/2022,1000,2500,$1000 - $2500,".NET,.Net Core,Rest API,Scrum,MVC 5;","Đà Nẵng,Hồ Chí Minh",toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
"Web Developer (PHP, Vuejs)",Công Ty Cổ Phần Musashi Việt Nam (Musashi),2/23/2022,600,1000,Thương lượng,"Web Development,Laravel,PHP,VueJS,OOP;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Automation QA Engineer,Titan Technology Corporation,2/23/2022,700,1500,Thương lượng,"Automation Testing,QC,QA,Java,Python;","Hồ Chí Minh,Lâm Đồng",toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Kỹ Sư Truyền Dẫn (Thu Nhập Từ 10-20Tr),Công Ty Cổ Phần Xây Dựng Hạ Tầng Kỹ Thuật,2/23/2022,400,1000,$400 - $1000,"Điện Tử Viễn Thông,IT Phần Mềm,Xử Lý Sự Cố Mạng;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Python Developers,"HDWebsoft Co., Ltd",2/23/2022,500,1000,Thương lượng,"Python,Django,HTML,Restful,Soap Webservice;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Game Software Engineer,Abh Tech,2/23/2022,1000,2500,Thương lượng,"C++,C#,Unity,Unreal Engine;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Tiếng Anh
Nhân Viên IT Phần Cứng/hệ Thống Mạng/hệ Thống Kiểm Soát An Ninh/viễn Thông,Công Ty TNHH Công Nghệ Thông Tin Và Truyền Thông Gtel ( Gtel ICT ),2/23/2022,450,1300,Thương lượng,"CCNA,Hệ Thống Mạng,System,An Toàn Thông Tin Mạng,Viễn Thông;","Hà Nội,Hồ Chí Minh,Bình Dương",toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Technical Architect,ELCA Information Technology (Vietnam) Limited,2/23/2022,3000,5000,Thương lượng,"Solution Architecture,Java,.NET,Oracle,React;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,100-499 Nhân viên,Tiếng Anh
Senior Mobile Developer,EMG Education,2/19/2022,800,1700,Thương lượng,"IOS Application,Android App Design,ReactJS,REST API,React Native;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Tiếng Anh
05 Kỹ Sư Middleware (Devnet/devops) Thu Nhập Up to $2000 !!!,Công Ty Cổ Phần Viễn Thông - Tin Học Bưu Điện,2/23/2022,0,2000,Tới $2000,"Cisco,Python,DevOps,Linux;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
(Upto 1100$) IT Application Support ( MES),ALUKO Group Vietnam,2/23/2022,800,1100,$800 - $1100,"Oracle Database,Java,MES Application,C#;","Hưng Yên,Hà Nội",toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
Java Developer - Junior Level (Salary Up to 35M),Công Ty CP Công Nghệ Phần Mềm Và Nội Dung Số OSP,2/23/2022,700,1500,$700 - $1500,"Java Springboot,Spring Web MVC,Oracle,SQL,Hibernate;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
PHP Developer (Attractive Salary),Công Ty TNHH Spectos Asia,2/23/2022,800,2000,Thương lượng,"PHP,Rest API,HTML5,JavaScript,Mysql Database;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Software Tester,ELCA Information Technology (Vietnam) Limited,2/23/2022,800,1500,Thương lượng,"QC,Test,SQL,Data Modeling,Test Case;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
System Administrator Specialist,ELCA Information Technology (Vietnam) Limited,2/23/2022,1000,2000,Thương lượng,"IT System,Helpdesk,System Admin,IT Systems Management,IT Hardware;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
.NET Developer (Up to $1700) - Tuyển Gấp,Công Ty TNHH Kỹ Sư Công Nghệ Cao Việt Nam,2/23/2022,650,1700,$650 - $1700,".NET,C#,Web,SQL,Lập Trình Web;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
DevOps Cloud Engineer,ELCA Information Technology (Vietnam) Limited,2/23/2022,1000,1500,Thương lượng,"Linux Server,Python,Perl,Software Development,IT Operations;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Chuyên Viên Phân Tích Nghiệp Vụ BA,Tập Đoàn C.E.O,2/23/2022,1000,1500,Thương lượng,"Tư Vấn,IT Phần Mềm,ERP,Business Analyst BA,Phân Tích Nghiệp Vụ;",Hà Nội,toàn thời gian,Nhân viên,,Bất kỳ
Senior Project Managers (X6) - Attractive Salary,"Niteco (Vietnam) CO., Ltd",2/23/2022,1500,3000,Thương lượng,"Project Management,English,Scrum Master,Agile,Cost Estimate;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Talent Acquisition Specialist,One Mount,2/7/2022,1000,1500,Thương lượng,"Recruitment,Talent Acquisition,Talent Sourcing;",Hà Nội,toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
Senior Talent Acquisition Specialist,Công Ty TNHH Gameloft,2/8/2022,800,1000,Thương lượng,"Recruitment,IT Recruitment,Communication,Computer Skill,Interpersonal Skill;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
Product Owner (Vinshop),One Mount,2/10/2022,1000,2000,Thương lượng,"E Commerce,Supply Processes,Phát Triển Sản Phẩm,UX,User Research;",Hà Nội,toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Tiếng Anh
Kỹ Sư Giải Pháp,Công Ty Cổ Phần Công Nghệ Mobifone Toàn Cầu,2/17/2022,600,2000,Thương lượng,"CCNA,Ccsa,Viễn Thông,Điện Tử Viễn Thông,Xây Dựng Giải Pháp;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
"iOS Developer [Swift, Objective C]",NEC Việt Nam,2/22/2022,700,1500,$700 - $1500,"iOS,Swift,Swift iOS,Objective-C;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
Kỹ Sư Hệ Thống Thông Tin (Sản Xuất),Daikin Air Conditioning (Vietnam) Joint Stock Company,2/22/2022,300,500,Thương lượng,"C#,Visual C#,Java,ASP.NET,SQL;","Hưng Yên,Hà Nội,Hải Dương",toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Lập Trình Backend Hệ Thống IOT - Upto 3000$,Công Ty Cổ Phần Bkav,3/3/2022,0,1000,Thương lượng,"Java,Scala,Golang,CSDL Oracle,Bigdata Technologies;",Hà Nội,toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
Senior PHP Devoloper (Up to 40M),Công Ty TNHH MTV Vinschool,3/4/2022,1000,2000,$1000 - $2000,"IT Phần Mềm,PHP,Lập Trình PHP,Lập Trình Viên Software Developer;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Android Developer,Navigos Group,2/16/2022,1200,1800,Thương lượng,"Android,Java,Kotlin;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Senior QC Engineer/ Tester,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"Back End Testing,Python,Java,Jira,Front End Dev;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Scrum Master (Up to $4000),HCL Vietnam Company Limited,2/22/2022,2500,4000,$2500 - $4000,"IT Phần Mềm,Scrum Master,Agile;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Bất kỳ
Bussiness Analyst Software (Chuyên Viên Phân Tích Nghiệp Vụ),FPT Telecom,2/18/2022,600,1500,$600 - $1500,"Business Analyst BA,Phân Tích,Giao Tiếp,Thuyết Trình,Phần Mềm;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
"Test Engineer (Fresher Welcome) - Up to $1,500",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),3/4/2022,550,1500,$550 - $1500,"Manual Testing,English,Software Testing,Validation Tester,Tester Automotive;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
Lập Trình Viên JAVA,Công Ty Cổ Phần Phát Triển Công Nghệ Liên Việt,3/1/2022,500,1000,Thương lượng,"Công Nghệ Thông Tin,Java,Javacore,J2EE,Oracle;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Senior Back-End Developers,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"Back End Testing,Python,Golang,SQL;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Data Engineer,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"SQL,Data Engineering,Big Data,Project Management;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Senior Fullstack Engineer,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"Python,Java,Linux,ReactJS,Agile;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Front End Developer (Reactjs),Navigos Group,2/16/2022,1100,1700,Thương lượng,"Front End Developer,ReactJS,Bootstrap,Javascript Es6;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
"Project Manager - Salary Up to $2,000 & Relocation Bonus",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),3/3/2022,1000,2000,$1000 - $2000,"C++,Embedded,Project Team Management,Agile Project,Resource Managing;",Đà Nẵng,toàn thời gian,Trưởng phòng,100-499 Nhân viên,Bất kỳ
Senior Project Manager - Team Leader - Attractive Salary & Relocation Bonus,LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),3/3/2022,1500,2500,$1500 - $2500,"Project Management,English,Agile Project,Resource Planning,Leadership;",Đà Nẵng,toàn thời gian,Trưởng phòng,100-499 Nhân viên,Bất kỳ
NLP Researcher (Chuyên Gia Nghiên Cứu Xử Lý Ngôn Ngữ Tự Nhiên),Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"Python,NLP,Tensorflow,Khoa Học Máy Tính;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Senior DevOps Engineer,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/9/2022,300,2000,Thương lượng,"Python,Golang,DevOps,Linux,CI CD;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
IT Infra & Security Engineer,Công Ty TNHH LG Innotek Việt Nam Hải Phòng,2/10/2022,500,0,Thương lượng,"Securities Core System,IT Infrastructure Management,It Helpdesk,IT Phần Cứng,IT Engineering;",Hải Phòng,toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
"Java Software Engineer – Salary Up To $2,000 & Relocation Bonus",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),3/1/2022,550,2000,$550 - $2000,"Java,OOP,Oop Design Pattern,Android,Open Source Development;",Đà Nẵng,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
"Chuyên Viên Quản Lý, Vận Hành Các Hệ Thống Mạng Viễn Thông","Trung Tâm Quản Lý, Điều Hành Mạng (Noc) - Chi Nhánh Tổng Công Ty Viễn Thông Mobifone",2/21/2022,500,0,Thương lượng,"IT System,IT Hardware,Networking IP,Network Configuration,Data Center;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Java Fresher/junior Developer,HCL Vietnam Company Limited,2/13/2022,500,1000,Thương lượng,"Java,Java Program,Java Software;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,500-999 Nhân viên,Tiếng Anh
Senior BI (Ssrs/ssis) Developer - Super Attractive Salary,"Aperia Vietnam Co Ltd.,",2/15/2022,1500,2000,Thương lượng,"SQL,SSRS,Database,Business Intelligence,English;","Hồ Chí Minh,Đà Nẵng",toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Data Scientist & Researcher,"MTI Technology Co., Ltd",2/21/2022,1500,3500,$1500 - $3500,"Computer Vision,Data Science,Machine Learning,Python,Artificial Intelligence;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
Backend Developer (Java/spring),Công Ty Cổ Phần Vinbrain,2/8/2022,2000,3000,Thương lượng,"Java,Python,JavaScript,NodeJS;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Support Application Engineer,Memberson Pte Ltd,2/14/2022,1500,2000,Thương lượng,"CRM,SQL,HTML,C#,Amazon Web Services;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Tiếng Anh
DevOps Engineer (Fintech Product) Up to $2500,Công Ty Cổ Phần Chứng Khoán SSI,2/16/2022,1000,3000,$1000 - $3000,"DevOps,Azure DevOps,Python Programming,JavaScript React,ReactJS;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Chuyên Viên Hệ Thống – Phòng Công Nghệ Thông Tin,Công Ty Cổ Phần Đại An,2/9/2022,300,1000,Thương lượng,"Quản Trị Mạng,Hạ Tầng Mạng,Networking Technology,Network Troubleshooting;",Hải Dương,toàn thời gian,Nhân viên,,Bất kỳ
Thiết Kế Đồ Họa Game,Công Ty Truyền Thông Viettel,2/22/2022,600,1500,Thương lượng,"Thiết Kế,Công Nghệ Thông Tin;",Hà Nội,toàn thời gian,Nhân viên,"10,000-19,999 Nhân viên",Bất kỳ
"IT Business Analyst (Ui/ux, English)","Travel And Pay Software Solutions Co., Ltd",2/21/2022,700,1800,$700 - $1800,"IT Software,IT Business Development,English,UI Development,UX;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
Digital Marketing Specialist,Công Ty Cổ Phần Vinbrain,2/17/2022,800,1800,$800 - $1800,"Marketing Capacity,Marketing Innovation,Marketing Campaign,Marketing Mind,Sales Kỹ Thuật;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Senior Quality Assurance,Công Ty Cổ Phần Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/8/2022,800,800,Thương lượng,"Agile,QA,QC,Scrum;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
"Unity Game Developer ( Up to 40,000,000 VNĐ )",Enish Việt Nam,2/22/2022,0,2000,Thương lượng,"Python,Unity,Game Developers,Game Unity,Lập Trình Unity;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Scrum Master (Up To $2400),Saigon Technology SOLUTIONS,2/18/2022,0,2400,Tới $2400,"Web Application,Jira,Project Management,Scrum Master,Confluence;","Hồ Chí Minh,Đà Nẵng",toàn thời gian,Trưởng phòng,25-99 Nhân viên,Bất kỳ
Embedded Linux Software Developer,Bosch Global Software Technologies Company Limited,2/21/2022,500,1000,Thương lượng,"Linux,C++,Debian,OOP,Embedded;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Bất kỳ
Chuyên Viên Công Nghệ Thông Tin,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,2/17/2022,300,300,Thương lượng,"Công Nghệ Thông Tin Phần Mềm,Toán Tin,Tin Học,Hệ Thống Thông Tin,Ngân Hàng;","Hà Nội,Hồ Chí Minh,An Giang",toàn thời gian,Nhân viên,,Bất kỳ
Senior Android Engineer,Công Ty Cổ Phần Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,2/8/2022,800,800,Thương lượng,"Android,Java,Kotlin;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
C/C++ Application Engineer,"Toshiba Software Development (Vietnam) Co., Ltd",2/8/2022,600,2000,$600 - $2000,"OOP,C++,Linux,Software Development,Ooad;",Hà Nội,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Bất kỳ
"Cyber Security Engineer (Vulnerability Testing) - Up to $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),2/11/2022,550,2000,$550 - $2000,"Network Protocols,Penetration Testing,Cybersecurity,Vulnerablity Asssement,Script Language;",Đà Nẵng,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
20 Embedded Software Developer,Bosch Global Software Technologies Company Limited,2/11/2022,500,2500,Thương lượng,"Embedded,C Programming Language,C++,Micro Controller Programming,Embedded Software Programming;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Tiếng Anh
15 Embedded Software Tester,Bosch Global Software Technologies Company Limited,2/11/2022,500,2500,Thương lượng,"Embedded,C Language,Testing,QA,QC;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Tiếng Anh
