JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
Digital HR Solutions and Project Management Manager,Coca-Cola Beverages Vietnam Ltd.,3/2/2022,1500,2500,Thương lượng,"HRM Software System,Hris Technologies,Digital System Design,HRIS System;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,"1,000-4,999 Nhân viên",Tiếng Anh
IT Information Security Engineer,Home Credit Vietnam - Https://career.homecredit.vn/,3/2/2022,800,2000,Thương lượng,"Information Security,Penetration Testing,Red Teaming,Cloud Security,Bug Hunting;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
QA Tester (Attractive Salary),Công Ty TNHH Spectos Asia,3/2/2022,800,2000,Thương lượng,"Web Application,Mobile Application,Selenium,Uipath Studio,Apache;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Frontend Dev ( UI-UX/ CSS/ HTML5) ( Upto-$2000),Công Ty TNHH Spectos Asia,3/2/2022,800,2000,Thương lượng,"PHP,Rest API,HTML5,JavaScript,Mysql Database;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Phó Phòng Bảo Mật và Rủi Ro,Tổng Công Ty Cổ Phần Bảo Hiểm Bưu Điện,3/2/2022,1000,2000,Thương lượng,"DevSecOps,Bảo Hiểm,Chứng Khoán,Java,Python;",Hà Nội,toàn thời gian,Trưởng phòng,,Bất kỳ
IT Staff - New Graduated,"Perstima Vietnam Co., LTD.",2/14/2022,300,500,Thương lượng,IT Phần Mềm;,Bình Dương,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Tiếng Anh
Project Manager (Brse: Japanese),Công Ty TNHH Asean Fan,3/1/2022,1000,2000,Thương lượng,"BrSE Tiếng Nhật,Tiếng Nhật N2,Game,Application Development,Phát Triển Ứng Dụng;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
SAP Hxm Sales Manager,Văn Phòng Đại Diện Của Công Ty TNHH Hr-Path Việt Nam Tại Thành Phố Hà Nội,2/15/2022,300,0,Thương lượng,"Coaching Skill,Sales Planning,Business Development,Employee Training,Sales Management;","Hà Nội,Hồ Chí Minh",toàn thời gian,Trưởng phòng,,Bất kỳ
Senior Talent Acquisition Specialist,Kyanon Digital,3/1/2022,1000,1500,Thương lượng,"Search Analysis,Sourcing Experience,Communication,Can Do Approach,English;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
IT Helpdesk,Công Ty Cổ Phần Công Nghệ Tadu,2/15/2022,400,550,Thương lượng,"Windows Server,Problem Solving,Technical Support,Monitoring System,Organization Skill;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Talent Acquisition Intern,Kyanon Digital,2/8/2022,100,500,Thương lượng,"English Skill,Research Ability,Communication,Talent Acquisition,Intern Customer Service;",Hồ Chí Minh,toàn thời gian,Thực tập sinh/Sinh viên,100-499 Nhân viên,Bất kỳ
